CNES,CNPJ,RAZAOSOCIAL,NOMEDEFANTASIA,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,CEP,TELEFONE,FAX,EMAIL,LATITUDE,LONGITUDE,DATAATUALIZACAOCOORDENADAS,CODIGODAATIVIDADE,ATIVIDADEDEENSINO,TIPODAUNIDADE,TIPODEESTABELECIMENTO,CODIGODANATUREZAJURIDICA,DESCRICAODANATUREZAJURIDICA
7853475,42541029000120,CENTRO DE PSICOLOGIA DA PESSOA LTDA ME,CENTRO DE PSICOLOGIA DA PESSOA LTDA ME,AVENIDA NOSSA SENHORA DE COPACABANA,769,SALA 903,COPACABANA,22050002,2125581387,2125581387,humberto.junior@anajrcontab.com,"-22.9729082","-43.18787090000001",28/09/2015,04,UNIDADE SEM ATIVIDADE DE ENSINO,36,CLINICA/CENTRO DE ESPECIALIDADE,2240,SOCIEDADE SIMPLES LIMITADA
7180497,05563188000108,CENTRO DE REABILITACAO ORAL SC LTDA,CENTRO DE REABILITACAO ORAL,RUA SILVA RABELO,18,206,MEIER,20735080,2125937793,,CARDOSOGRUND2@GMAIL.COM,"-22.9015589","-43.2795675",05/02/2013,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,2240,SOCIEDADE SIMPLES LIMITADA
3149927,28580736000103,CENTRO MEDICO JUSEL DA PENHA LTDA,CENTRO MEDICO MATERNO INFANTIL DA PENHA,RUA APIAI,76,,PENHA CIRCULAR,21020080,(21)3884-9909,(21)2590-0773,juseldapenha@gmail.com,"-22.8346142","-43.281169999999975",07/05/2014,04,UNIDADE SEM ATIVIDADE DE ENSINO,36,CLINICA/CENTRO DE ESPECIALIDADE,2062,SOCIEDADE EMPRESARIA LIMITADA
7110219,68664341000103,CENTRO MEDICO NASCER E RENASCER S C LTDA,CENTRO MEDICO NASCER E RENASCER,RUA AURELIO VALPORTO,047,SALA 201,MARECHAL HERMES,21555560,38803559,,lexandraricha@terra.com.br,"-22.8588818","-43.3701276",17/09/2012,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,2240,SOCIEDADE SIMPLES LIMITADA
5353750,03791862000178,CENTRO OFTALMOLOGICO VILA DA PENHA LTDA,CENTRO OFTALMOLOGICO VILA DA PENHA,AV MERITI,2445,210 211,VILA DA PENHA,21211007,33518792,24811127,covprj@yahoo.com.br,"-22.8387648","-43.311607",06/08/2012,04,UNIDADE SEM ATIVIDADE DE ENSINO,36,CLINICA/CENTRO DE ESPECIALIDADE,2240,SOCIEDADE SIMPLES LIMITADA
7267487,15164029000186,CEO CENTRO ODONTOLOGICO LTDA,CEO CENTRO ODONTOLOGICO,RUA FRANCISCO REAL,1950,SSL 124,BANGU,21810042,31733173,,jailson@gmail.com,"-22.8650069","-43.29357060000001",10/07/2015,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,2240,SOCIEDADE SIMPLES LIMITADA
5618932,08869597000117,ONCO GEN RIO ONCOLOGIA LTDA ME,CEOGEN - CENTRO ESPECIALIZADO EM ONCOLOGIA E GENETICA,RUA BAMBINA,124,T01,BOTAFOGO,22251050,22465810,,oncogenrio@gmail.com,"-22.9472812","-43.185935900000004",20/10/2015,04,UNIDADE SEM ATIVIDADE DE ENSINO,36,CLINICA/CENTRO DE ESPECIALIDADE,2240,SOCIEDADE SIMPLES LIMITADA
7310005,,CERES MARIA DE FRANCA BEZERRA,CERES MARIA DE FRANCA BEZERRA,AVENIDA TREZE DE MAIO,23,SALA 1108,CENTRO,20031902,2125442518,,ceres2004@uol.com.br,"-22.9090741","-43.1770539",01/08/2013,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,4000,PESSOA FISICA
7180500,10922058000227,CID SERVICOS MEDICOS ESPECIALIZADOS,CID CENTRO DE INFUSAO,AVENIDA DAS AMERICAS,4790,SALA 329,BARRA DA TIJUCA,22640102,,,nuno.rcom@gmail.com,"-22.9994335","-43.35932",30/01/2013,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,2232,SOCIEDADE SIMPLES PURA
5409373,72227473000137,CLINICA DE OLHOS OCTAVIO MOURA BRASIL,CLINICA DE OLHOS OCTAVIO MOURA BRASIL CENTRO,RUA MEXICO,98,11 ANDAR,CENTRO,20031141,21 3235-9841,,comourabrasil@veloxmail.com.br,"-22.9095364","-43.1750167",02/08/2012,04,UNIDADE SEM ATIVIDADE DE ENSINO,62,HOSPITAL/DIA - ISOLADO,2232,SOCIEDADE SIMPLES PURA
7222807,16737503000184,ABUD E ESCOBAR OFTALMOLOGISTAS ASSOCIADOS LTDA,CLINICA DE OLHOS VOLUNTARIOS DA PATRIA,RUA VOLUNTARIOS DA PATRIA,45,SALA 1102,BOTAFOGO,22270000,2125379189,2135793443,bruno_abud@hotmail.com,"-22.9509088","-43.183222",29/03/2013,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,2240,SOCIEDADE SIMPLES LIMITADA
6084702,09128373000117,CLINICA E CIRURGIA DE OLHOS DR JOSE RENATO NOGUEIRA LTDA,CLINICA E CIRURGIA DE OLHOS DR JOSE RENATO NOGUEIRA,AVENIDA NOSSA SENHORA DE COPACABANA,647,CONJUNTO 901,COPACABANA,22051001,22552239,22552239,jrenatonog@gmail.com,"-22.9708702","-43.18630559999997",07/03/2015,04,UNIDADE SEM ATIVIDADE DE ENSINO,36,CLINICA/CENTRO DE ESPECIALIDADE,2232,SOCIEDADE SIMPLES PURA
6975569,05728075000107,FISIO RESISTENCIA MUSCULAR E SAUDE LTDA ME,CLINICA FISIO RM SAUDE,AV NOSSA SENHORA DE COPACABANA,807,1005 1006,COPACABANA,22050001,(021) 2255-3171,021 22553171,RMUSIALOWSKI@HOTMAIL.COM,"-22.9736584","-43.18843529999998",06/02/2014,04,UNIDADE SEM ATIVIDADE DE ENSINO,36,CLINICA/CENTRO DE ESPECIALIDADE,2240,SOCIEDADE SIMPLES LIMITADA
7403844,08113442000156,CLINICA GUADALUPE LTDA,CLINICA GUADALUPE,RUA LUIZ COUTINHO CAVALCANTE,214,,GUADALUPE,21675310,2133908258,2124585188,JUCECADI2009@GMAIL.COM,"-22.8457667","-43.374108999999976",19/12/2013,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,2240,SOCIEDADE SIMPLES LIMITADA
6700977,08969799000130,CLINICA MEDICA DRA LUCIANA PALMA LTDA EPP,CLINICA MEDICA DRA LUCIANA PALMA,RUA MEXICO,41,SALA 1801,CENTRO,20031144,22203846,,,"-22.9113191","-43.174514199999976",08/07/2015,04,UNIDADE SEM ATIVIDADE DE ENSINO,36,CLINICA/CENTRO DE ESPECIALIDADE,2240,SOCIEDADE SIMPLES LIMITADA
7591144,18636396000123,CLINICA MEDICA POUR LA FEMME LTDA,CLINICA MEDICA POUR LA FEMME,RUA SETE DE SETEMBRO,55,CONJUNTO 203,CENTRO,22040020,25075915,25075915,contato@saudeparamulher.com.br,"-22.9044235","-43.17668850000001",26/09/2014,04,UNIDADE SEM ATIVIDADE DE ENSINO,36,CLINICA/CENTRO DE ESPECIALIDADE,2062,SOCIEDADE EMPRESARIA LIMITADA
6654029,00207913000183,CLINICA MEDICA SANTA ELIZABETH LTDA,CLINICA MEDICA SANTA ELIZABETH,RUA MIGUEL ANGELO,458,,CACHAMBI,20785223,25014260,31853515,climese@hotmail.com,"-22.8873152","-43.2657974",24/10/2013,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,2240,SOCIEDADE SIMPLES LIMITADA
7678487,19901808000178,CLINICA MEDICA VALQUEIRE LTDA EPP,CLINICA MEDICA VALQUEIRE,RUA DAS ROSAS,95,SL 305,VILA VALQUEIRE,21330680,31973544,,,"-22.8793315","-43.36326980000001",02/02/2015,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,2062,SOCIEDADE EMPRESARIA LIMITADA
7789718,21743633000160,CLINICA ODONTO CENTRAL LTDA ME,CLINICA ODONTO CENTRAL,AVN RIO BRANCO,156,SALA 839,CENTRO,20040003,2125323618,,odontocentralrj@gmail.com,"-22.9061042","-43.17765829999996",03/07/2015,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,2062,SOCIEDADE EMPRESARIA LIMITADA
6954618,14727221000170,CLINICA ODONTOLOGICA TATHIANY ALMEIDA LTDA ME,CLINICA ODONTOLOGICA TATHIANY ALMEIDA,AV PASTOR MARTIN LUTHER KING JR,126,BL 1 SL 377 A,DEL CASTILHO,20765000,2130831700,,tathyfranco@hotmail.com,"-22.8803059","-43.2697739",01/03/2013,04,UNIDADE SEM ATIVIDADE DE ENSINO,36,CLINICA/CENTRO DE ESPECIALIDADE,2240,SOCIEDADE SIMPLES LIMITADA
6139965,03982681000129,CLINICA OFTALMOLOGICA OCTAVIO MOURA BRASIL,CLINICA OFTALMOLOGICA OCTAVIO MOURA BRASIL ILHA,ESTRADA DO GALEAO,2500,BL A SL 204 206,ILHA DO GOVERNADOR,21931522,2222-1894,,administracao@mourabrasil.com.br,"-22.9095364","-43.1750167",02/08/2012,04,UNIDADE SEM ATIVIDADE DE ENSINO,36,CLINICA/CENTRO DE ESPECIALIDADE,2232,SOCIEDADE SIMPLES PURA
7646208,,HEBER FERREIRA PRADO,CONSULTORIO DENTARIO HEBER FERREIRA PRADO,ESTRADA DO CAMPINHO,298,,CAMPO GRANDE,23070220,2124131442,2121432970,heber.sp@globo.com,"-22.9016829","-43.570710599999984",02/12/2014,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,4000,PESSOA FISICA
7489684,,CONSULTORIO DR ARISTAUZIRO FERREIRA DE OLIVEIRA,CONSULTORIO DR ARISTAUZIRO FERREIRA DE OLIVEIRA,AVENIDA NOSSA SENHORA DE COPACABANA,647,SALA 1004,COPACABANA,22050001,2235-4593,2256-9770,zirooliveira@uol.com.br,"-22.867238875036896","-43.44194769859314",04/01/2013,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,4000,PESSOA FISICA
7367961,,LEANDRO DA SILVA MAMEDIR,CONSULTORIOS PSICOLOGIA E FONOAUDIOLOGIA,AVENIDA MARIA TERESA,260,BL II PREMIUM SL 506,CAMPO GRANDE,23050160,21-2412-9724,,psicomamedir@gmail.com.br,"-22.9055394","-43.5660286",04/10/2013,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,4000,PESSOA FISICA
7267541,01740697000108,CPG SERVICOS MEDICOS S C LTDA,CPG SERVICOS MEDICOS,RUA MEXICO,21,AP 1901,CENTRO,20031141,25729512,,fgomes@gmail.com,"-22.9116369","-43.1742198",13/06/2013,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,2240,SOCIEDADE SIMPLES LIMITADA
7124929,14768450000133,CR ODONTOLOGIA LTDA,CR ODONTOLOGIA,RUA GALDINO PIMENTEL,223,,MEIER,20735280,31830687,,,"-22.902407401228334","-43.28691601753235",23/08/2012,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,2240,SOCIEDADE SIMPLES LIMITADA
7496087,,CRISTIANE GUIMARAES MARQUES,CRISTIANE GUIMARAES MARQUES,RUA BARATA RIBEIRO,383,SALA 602,COPACABANA,22040001,2125490821,,crisgmarques@ig.com.br,"-22.9683136","-43.1852255",09/05/2014,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,4000,PESSOA FISICA
5762790,00826252000174,CUIDAR HCW SERVICOS DE SAUDE LTDA,CUIDAR HOME CARE,AV GUILHERME DE ALMEIDA,780,,RECREIO DOS BANDEIRA,22790100,2125680609,2125657520,FATIMAPESSOA@CUIDARHOMECARE.COM.BR,"-23.0187437","-43.45428530000004",14/10/2014,04,UNIDADE SEM ATIVIDADE DE ENSINO,77,SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE),2062,SOCIEDADE EMPRESARIA LIMITADA
7559372,10473952000186,DERMODENTE CLINICA ESPECIALIZADA LTDA,DERMODENTE CLINICA ESPECIALIZADA,PRACA OLAVO BILAC,28,SALA 912,CENTRO,20041010,33912904,33912904,DERMODENTE@HOTMAIL.COM,"-22.9035322","-43.17996700000003",28/07/2014,04,UNIDADE SEM ATIVIDADE DE ENSINO,36,CLINICA/CENTRO DE ESPECIALIDADE,2062,SOCIEDADE EMPRESARIA LIMITADA
7023871,15144359000100,DRA ANDREA CAMPAGNOLO CENTRO DE DIAG EM OTORRINO E CLIN MED,DRA ANDREA OTORRINOLARINGOLOGISTA,RUA VISCONDE DE PIRAJA,452,SALA 207,IPANEMA,22410002,(21) 3936-2052,,almerymonteiro@oi.com.br,"-22.917043440564416","-43.22302579879761",,04,UNIDADE SEM ATIVIDADE DE ENSINO,36,CLINICA/CENTRO DE ESPECIALIDADE,2240,SOCIEDADE SIMPLES LIMITADA
7543727,17450181000150,DRABLE MEDICOS ASSOCIADOS,DRABLE MEDICOS ASSOCIADOS,AV NELSON CARDOSO,1149,SALA 322,TAQUARA,22730900,2269-1296,,drablemedicos@gmail.com,"-22.9219613","-43.37102679999998",17/07/2014,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,2232,SOCIEDADE SIMPLES PURA
7047460,08281556000105,EIRAS SERVICOS MEDICOS LTDA EPP,EIRAS SERVICOS MEDICOS,AV DAS AMERICAS,4801,SALA 208,BARRA DA TIJUCA,22631004,33253871,,eirascamila@gmail.com,"-23.0002458","-43.3612634",,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,2240,SOCIEDADE SIMPLES LIMITADA
6103413,08712502000157,ELETRONEUROCOR PRESTACAO DE SERVICOS MEDICOS,ELETRONEUROCOR,AVENIDA MARTIN LUTHER KING JUNIOR,126,BL 01 SL 362 A,DEL CASTILHO,20765000,30831716,,pnucera@oi.com.br,"-22.8779867","-43.27194259999999",24/02/2015,04,UNIDADE SEM ATIVIDADE DE ENSINO,36,CLINICA/CENTRO DE ESPECIALIDADE,2232,SOCIEDADE SIMPLES PURA
7379684,,GERALDO ANTONIO CORREA,ESPACO TERAPEUTICO GERALDO CORREA,RUA CAROLINA MACHADO,542,,MADUREIRA,22211200,2122050164,,,"-22.8746985","-43.3401006",26/10/2013,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,4000,PESSOA FISICA
6810969,07503313000101,FUNDACAO AMELIA DIAS DE ASSIS AO M E A P N ESPECIAIS FAMAD,FAMAD,RUA JAPURA,115,,PRACA SECA,21320000,21 2464-3147,21 2464-3147,sandportugal@hotmail.com,"-22.892787441886412","-43.34307974907381",28/04/2015,04,UNIDADE SEM ATIVIDADE DE ENSINO,36,CLINICA/CENTRO DE ESPECIALIDADE,3069,FUNDACAO PRIVADA
7675712,86772753000130,FISIOTERAPIA BRASIL PORTUGAL EPP,FISIOTERAPIA BRASIL PORTUGAL,RUA JOSE DOS REIS,49,,ENGENHO DE DENTRO,20770061,2196416-3003,,fisiobp@gmail.com,"-22.8948683","-43.2956628",12/02/2015,04,UNIDADE SEM ATIVIDADE DE ENSINO,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),2062,SOCIEDADE EMPRESARIA LIMITADA
7402589,19064473000180,CLAUDIA MOREIRA CESAR ME,FONART ESPACO FONOAUDIOLOGIA APLICADA E SAUDE INTEGRAL,RUA DIAS DA CRUZ,185,SALA 226,MEIER,20720010,3472-9731,,claumcesar@globo.com,"-22.903006","-43.28221339999999",13/12/2013,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,2135,EMPRESARIO (INDIVIDUAL)
7835817,02946662000184,GENERAL MED LTDA EPP,GENERAL MED,ESTRADA DO PORTELA,99,SALA 304,MADUREIRA,21351050,3359-2922,3018-1419,lcferreira@clrcontabil.com.br,"-22.8731549","-43.33909840000001",25/08/2015,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,2240,SOCIEDADE SIMPLES LIMITADA
7691041,,GIRLEIDE SOUTO DE OLIVEIRA,GIRLEIDE SOUTO DE OLIVEIRA,AV AFRANIO DE MELO FRANCO,141,SALA 406,LEBLON,22430060,2122949620,2125116945,girleidesouto@gmail.com,"-22.9826492","-43.21813950000001",09/03/2015,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,4000,PESSOA FISICA
6084893,04689963000103,CEVERJ CENTRO DE VIDEOENDOSCOPIA DO RIO DE JANEIRO,GRUPO CEVERJ HISTEROLAP,AV DOM HELDER CAMARA,5644,SALA 810 811,PILARES,20771004,22690682,39790154,kmartins@grupoceverj-histerolap.com.br,"-22.88731511111851","-43.2855749130249",14/11/2013,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,2240,SOCIEDADE SIMPLES LIMITADA
7312288,00482485000105,CLINICA ODONTOLOGICA SAO VICTOR EIRELI,HOSPITAL DO DENTE,RUA SOLDADO JOAO PECANHA,05,,CAMPO GRANDE,23042385,2133646571,,hospitaldente24h@gmail.com,"-22.9277619","-43.5552896",08/08/2013,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,2305,EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESARIA)
7788177,09312628000105,INSTITUTO FISIOHUMAN DE PROGRAMAS DE SAUDE E ERGONOMIA LTDA,INSTITUTO FISIOHUMAN,ESTRADA DO GUERENGUE,1142,LOTE 4 CASA 4,TAQUARA,22713004,24568138,24568138,malufisio1@gmail.com,"-22.9321433","-43.380950799999994",21/07/2015,04,UNIDADE SEM ATIVIDADE DE ENSINO,36,CLINICA/CENTRO DE ESPECIALIDADE,2240,SOCIEDADE SIMPLES LIMITADA
5170729,32093775000145,INSTITUTO ORTOPEDICO DA TIJUCA LTDA,INSTITUTO ORTOPEDICO DA TIJUCA,RUA DR PEREIRA DOS SANTOS,14,,TIJUCA,20520170,25758911,25758911,,"-22.9257568","-43.233558200000004",11/06/2015,04,UNIDADE SEM ATIVIDADE DE ENSINO,36,CLINICA/CENTRO DE ESPECIALIDADE,2240,SOCIEDADE SIMPLES LIMITADA
7788258,,ISABELLA COUTINHO TEIXEIRA,ISABELLA COUTINHO TEIXEIRA,RUA ENGENHEIRO TRINDADE,99,SALA 402,CAMPO GRANDE,23050290,25075294,,,"-22.9032545","-43.56483129999998",18/06/2015,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,4000,PESSOA FISICA
7632711,,JOSE HORACIO TEIXEIRA DE CARVALHO,J HORACIO T DE CARVALHO,ESTRADA DE JACAREPAGUA,7709,SALAS 409 410 411,FREGUESIA JACAREPAG,22753045,24471290,,jhtcarvalho@yahoo.com.br,"-22.9417509","-43.3419207",06/11/2014,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,4000,PESSOA FISICA
7267428,,JAILSON JOSE MOREIRA,JAILSON JOSE MOREIRA,RUA CAROEN,11,SALA 216,PENHA CIRCULAR,21210340,31379059,,jailsongmail.com,"-22.8650069","-43.29357060000001",10/07/2015,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,4000,PESSOA FISICA
7694377,,JOSE FERNANDO CALLIJAO ARAUJO,JOSE FERNANDO CALLIJAO ARAUJO,RUA MANUELA BARBOSA,43,SALAS 301 E 302,MEIER,20735110,2224972,,,"-22.9013518","-43.2820031",18/03/2015,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,4000,PESSOA FISICA
7107773,40393761000418,LAB ANAL CLIN PROF JOAO CIRIBELLI GUIMARAES LDTA EPP,LAB CIRIBELLI,AVENIDA PRESIDENTE VARGAS,529,1504 E 1505,CENTRO,20071003,21-30911554,21-22732397,atendimento@labciribelli.com.br,"-22.902003","-43.1803349",21/08/2012,04,UNIDADE SEM ATIVIDADE DE ENSINO,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),2240,SOCIEDADE SIMPLES LIMITADA
7421028,31887136000946,LABORATORIO RICHET PESQUISAS DE PHYSIOPATHOLOGIA HUMANA LTDA,LABORATORIO RICHET CENTRO,PRC MAHATMA GANDHI,02,GRP 201 E 202,CENTRO,20031100,(21) 3184-3000,,qualidade@richet.com.br,"-22.9083734","-43.17306959999996",13/01/2014,04,UNIDADE SEM ATIVIDADE DE ENSINO,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),2062,SOCIEDADE EMPRESARIA LIMITADA
7492839,,LELIA TOZZATTO,LELIA TOZZATTO,RUA SIQUEIRA CAMPOS,43,SALA 716,COPACABANA,22031071,2122361610,,ltozzatto@ig.com.br,"-22.9695206","-43.18451809999999",30/04/2014,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,4000,PESSOA FISICA
7658915,,LEONEL DE OLIVEIRA FERREIRA,LEONEL DE OLIVEIRA FERREIRA,RUA CAROEM,11,SL 321 322,PENHA,21210340,999850083,,leonel.ferreira@globo.com,"-23.95689312782526","-43.053014662500004",15/01/2015,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,4000,PESSOA FISICA
5185378,40297269000104,LIFE IMAGEM DIAG POR IMAGEM CLIN MED E PARTICIPACOES S A,LIFE IMAGEM MATRIZ,RUA MARECHAL JOFRE,30,PARTE,GRAJAU,20560185,2122126200,2122126200,lifeimagem@lifeimagem.com.br,"-22.9294117","-43.2316748",13/05/2013,04,UNIDADE SEM ATIVIDADE DE ENSINO,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),2054,SOCIEDADE ANONIMA FECHADA
6655130,40297269001178,LIFE IMAGEM DIAG POR IMAGEM CLIN MED E PARTICIPACOES S A,LIFE IMAGEM UNIDADE BARRA DA TIJUCA,AVENIDA DAS AMERICAS,3665,LOJA 101 A,BARRA DA TIJUCA,22631003,2122126200,2122126200,lifeimagem@lifeimagem.com.br,"-23.0003974","-43.3497264",13/05/2013,04,UNIDADE SEM ATIVIDADE DE ENSINO,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),2240,SOCIEDADE SIMPLES LIMITADA
6177085,40297269000953,LIFE IMAGEM DIAG POR IMAGEM CLIN MED E PARTICIPACOES S A,LIFE IMAGEM UNIDADE CAMPO GRANDE,AVENIDA CESARIO DE MELO,3045,,CAMPO GRANDE,23050101,2122126200,2131981500,lifeimagem@lifeimagem.com.br,"-22.9072523","-43.5614807",13/05/2013,04,UNIDADE SEM ATIVIDADE DE ENSINO,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),2240,SOCIEDADE SIMPLES LIMITADA
